epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1918.12,1.0951,0.80592,0.46811,0.48367,0.1891,0.07107,0.03382,0.59515,1.59713,0.61327,3.33252e-05,3.33252e-05,0.0667082
2,3764.13,0.6954,1.02584,0.23381,0.5158,0.24398,0.11279,0.06551,0.47157,1.50726,0.41628,6.53387e-05,6.53387e-05,0.0334068
3,5551.82,0.55202,1.09617,0.18316,0.25633,0.38223,0.1302,0.0808,0.39561,1.48163,0.35844,9.60322e-05,9.60322e-05,0.000104202
4,7346.98,0.4769,1.10274,0.16271,0.4176,0.37952,0.26657,0.15471,0.51756,1.06773,0.54867,9.406e-05,9.406e-05,9.406e-05
5,9123.22,0.47993,0.92622,0.16804,0.39287,0.3015,0.28834,0.16621,0.52539,1.11236,0.59048,9.208e-05,9.208e-05,9.208e-05
6,10896.2,0.48642,0.74001,0.17741,0.4376,0.39442,0.36283,0.23058,0.52626,0.93956,0.59273,9.01e-05,9.01e-05,9.01e-05
7,12685.6,0.46822,0.68905,0.17124,0.49062,0.50204,0.45923,0.31295,0.45258,0.82215,0.49754,8.812e-05,8.812e-05,8.812e-05
8,14448.3,0.44917,0.65662,0.16402,0.5075,0.52684,0.47167,0.31063,0.4937,0.76149,0.56636,8.614e-05,8.614e-05,8.614e-05
9,16265.2,0.43376,0.626,0.15893,0.50709,0.50255,0.4611,0.32496,0.44301,0.8401,0.50684,8.416e-05,8.416e-05,8.416e-05
10,18086.8,0.42278,0.59823,0.154,0.55027,0.53716,0.52555,0.35468,0.44487,0.72033,0.48892,8.218e-05,8.218e-05,8.218e-05
11,19858.5,0.40961,0.5882,0.14848,0.54462,0.5217,0.48811,0.3357,0.43292,0.86314,0.47872,8.02e-05,8.02e-05,8.02e-05
12,21647.6,0.39836,0.57439,0.1437,0.57057,0.57821,0.55097,0.38547,0.41052,0.70396,0.46904,7.822e-05,7.822e-05,7.822e-05
13,23467,0.38988,0.55362,0.14059,0.61225,0.54798,0.56338,0.39832,0.40539,0.68557,0.45359,7.624e-05,7.624e-05,7.624e-05
14,25308.6,0.38363,0.54357,0.13725,0.57436,0.60362,0.56383,0.39469,0.41644,0.64877,0.49739,7.426e-05,7.426e-05,7.426e-05
15,27878,0.37458,0.52773,0.13488,0.59114,0.61338,0.5727,0.40586,0.40076,0.65734,0.45009,7.228e-05,7.228e-05,7.228e-05
16,29762.8,0.36749,0.5183,0.12972,0.5788,0.59837,0.57832,0.41428,0.39554,0.66061,0.44579,7.03e-05,7.03e-05,7.03e-05
17,31737.3,0.36391,0.52069,0.12891,0.60137,0.59609,0.57713,0.41567,0.39354,0.66118,0.44298,6.832e-05,6.832e-05,6.832e-05
18,34239.4,0.35894,0.50367,0.12649,0.61438,0.599,0.57618,0.40994,0.40163,0.66131,0.46793,6.634e-05,6.634e-05,6.634e-05
19,36197.3,0.35181,0.49333,0.1238,0.61656,0.59225,0.57757,0.41244,0.39499,0.65561,0.4533,6.436e-05,6.436e-05,6.436e-05
20,37985.8,0.34202,0.48302,0.1209,0.57674,0.61632,0.57849,0.41869,0.38175,0.65208,0.42579,6.238e-05,6.238e-05,6.238e-05
21,39777.5,0.3377,0.47746,0.11863,0.61095,0.6029,0.58841,0.42433,0.38725,0.64147,0.43647,6.04e-05,6.04e-05,6.04e-05
22,41555,0.33763,0.46782,0.11869,0.61377,0.60865,0.57612,0.41673,0.39151,0.66702,0.44541,5.842e-05,5.842e-05,5.842e-05
23,43339.8,0.3309,0.46196,0.11465,0.61236,0.61471,0.58464,0.42203,0.38668,0.66525,0.43624,5.644e-05,5.644e-05,5.644e-05
