epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.469,1.36896,3.61843,0.01485,0.47204,0.36168,0.33024,0.20353,1.28184,1.9028,0.0179,0.000302703,0.000302703,0.000302703
2,876.415,1.34602,2.2475,0.01491,0.4128,0.41135,0.39703,0.2616,1.19165,1.59834,0.01718,0.00059371,0.00059371,0.00059371
3,1359.71,1.36075,1.86695,0.01539,0.44328,0.45454,0.44235,0.29761,1.17905,1.38937,0.01722,0.000872718,0.000872718,0.000872718
4,1825.71,1.35327,1.71193,0.01517,0.49399,0.46228,0.45155,0.31082,1.14951,1.38569,0.01752,0.000855005,0.000855005,0.000855005
5,2271.72,1.33149,1.61439,0.01497,0.51545,0.50346,0.49617,0.33118,1.14477,1.27084,0.01642,0.000837007,0.000837007,0.000837007
6,2736.4,1.31034,1.54061,0.01448,0.50096,0.52246,0.51269,0.35341,1.096,1.23293,0.01536,0.000819009,0.000819009,0.000819009
7,3202.35,1.31172,1.49053,0.0145,0.49644,0.562,0.52684,0.3627,1.0685,1.16359,0.01427,0.000801011,0.000801011,0.000801011
8,3586.69,1.28708,1.42337,0.01398,0.53517,0.52818,0.53128,0.37674,1.03627,1.15077,0.01421,0.000783013,0.000783013,0.000783013
9,3818.18,1.27701,1.3927,0.01415,0.55919,0.53749,0.55884,0.39624,1.02372,1.09512,0.0139,0.000765014,0.000765014,0.000765014
10,4048.32,1.25058,1.35198,0.01353,0.56154,0.56136,0.57141,0.40609,1.02579,1.08487,0.01403,0.000747016,0.000747016,0.000747016
11,4277.16,1.24927,1.32687,0.01368,0.56284,0.55815,0.57591,0.41567,1.01465,1.06347,0.01393,0.000729018,0.000729018,0.000729018
12,4506.06,1.2543,1.29369,0.0136,0.58627,0.56083,0.58118,0.41411,1.01268,1.02737,0.01384,0.00071102,0.00071102,0.00071102
