epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.028,1.3896,2.19712,1.49031,0.43993,0.43765,0.42476,0.25821,1.311,1.58339,1.46987,0.000302406,0.000302406,0.000302406
2,318.158,1.32676,1.66242,1.45088,0.47993,0.43528,0.4458,0.28968,1.21875,1.48614,1.41526,0.000593419,0.000593419,0.000593419
3,475.802,1.32817,1.55537,1.44532,0.48467,0.48207,0.47487,0.28961,1.39645,1.46378,1.50965,0.000872433,0.000872433,0.000872433
4,640.826,1.31518,1.48933,1.43279,0.51051,0.48222,0.50674,0.33976,1.16718,1.28113,1.38563,0.000855005,0.000855005,0.000855005
5,810.528,1.27315,1.40544,1.4039,0.53215,0.51701,0.50894,0.3373,1.14507,1.26387,1.35612,0.000837007,0.000837007,0.000837007
6,978.76,1.23981,1.34899,1.38308,0.50083,0.53181,0.53328,0.35227,1.14218,1.20902,1.34834,0.000819009,0.000819009,0.000819009
7,1137.13,1.21219,1.3061,1.36628,0.54968,0.55614,0.55701,0.37472,1.11084,1.15557,1.31807,0.000801011,0.000801011,0.000801011
8,1304.45,1.19222,1.25977,1.34743,0.52862,0.57913,0.56884,0.39469,1.04418,1.11356,1.28009,0.000783013,0.000783013,0.000783013
9,1468.98,1.18069,1.23056,1.33417,0.52426,0.57336,0.56576,0.39374,1.05768,1.09379,1.29789,0.000765014,0.000765014,0.000765014
10,1631.32,1.15657,1.19797,1.32363,0.53328,0.57889,0.56461,0.39523,1.02753,1.10312,1.26687,0.000747016,0.000747016,0.000747016
11,1794.67,1.14838,1.18846,1.31876,0.48696,0.5916,0.56791,0.40311,0.9907,1.07034,1.24802,0.000729018,0.000729018,0.000729018
12,1955.59,1.13223,1.16093,1.30769,0.5512,0.58314,0.58741,0.4175,0.9798,1.03228,1.21534,0.00071102,0.00071102,0.00071102
13,2116.03,1.12662,1.13821,1.29394,0.58588,0.55197,0.58086,0.41695,0.96637,1.0296,1.21114,0.000693022,0.000693022,0.000693022
14,2272.5,1.10412,1.12077,1.2881,0.52099,0.61532,0.58138,0.41309,0.94553,1.038,1.19466,0.000675023,0.000675023,0.000675023
15,2428.9,1.09261,1.10445,1.28284,0.55419,0.59549,0.59346,0.4141,0.95945,1.01819,1.20004,0.000657025,0.000657025,0.000657025
16,2592.71,1.08858,1.09257,1.27589,0.59445,0.59951,0.59416,0.41923,0.93226,0.98808,1.17799,0.000639027,0.000639027,0.000639027
17,2757.44,1.07664,1.07277,1.27159,0.58474,0.60189,0.60225,0.43152,0.91918,0.97657,1.1861,0.000621029,0.000621029,0.000621029
18,2917.6,1.07391,1.05795,1.26328,0.57911,0.62307,0.6016,0.43344,0.89908,0.97092,1.16324,0.000603031,0.000603031,0.000603031
19,3077.99,1.06459,1.04368,1.25986,0.5536,0.61126,0.61113,0.44362,0.91171,0.95317,1.1773,0.000585032,0.000585032,0.000585032
20,3237.11,1.05471,1.02464,1.25136,0.57081,0.62291,0.60904,0.44464,0.90168,0.94659,1.17756,0.000567034,0.000567034,0.000567034
21,3396.97,1.04315,1.00963,1.24697,0.5955,0.59877,0.60956,0.4418,0.8878,0.93371,1.15535,0.000549036,0.000549036,0.000549036
22,3556.38,1.03947,0.996,1.23743,0.59135,0.62317,0.62091,0.4553,0.85137,0.92675,1.1385,0.000531038,0.000531038,0.000531038
23,3718.3,1.03518,0.98277,1.23385,0.5765,0.6262,0.61127,0.44695,0.89015,0.92563,1.15154,0.00051304,0.00051304,0.00051304
24,3884.03,1.02205,0.9723,1.23032,0.57891,0.6351,0.62446,0.45461,0.86167,0.922,1.13759,0.000495041,0.000495041,0.000495041
25,4043.27,1.02155,0.97685,1.22871,0.56436,0.63326,0.6197,0.45652,0.87104,0.9174,1.14145,0.000477043,0.000477043,0.000477043
26,4204.56,1.01332,0.95667,1.22295,0.59309,0.64256,0.61858,0.45124,0.88303,0.9272,1.15059,0.000459045,0.000459045,0.000459045
27,4362.63,1.0016,0.94119,1.21953,0.60493,0.62906,0.62633,0.46605,0.83347,0.89551,1.11644,0.000441047,0.000441047,0.000441047
28,4524.43,0.99928,0.92801,1.21179,0.63612,0.59535,0.62045,0.45944,0.85211,0.90374,1.11897,0.000423049,0.000423049,0.000423049
29,4684.36,0.99285,0.92845,1.21433,0.61103,0.62693,0.63043,0.46991,0.82437,0.87983,1.11396,0.00040505,0.00040505,0.00040505
30,4843.16,0.98079,0.91784,1.20264,0.63551,0.61836,0.63149,0.46425,0.83919,0.88759,1.11421,0.000387052,0.000387052,0.000387052
31,5002.78,0.97491,0.90058,1.19767,0.64335,0.594,0.62664,0.46986,0.82777,0.87309,1.10519,0.000369054,0.000369054,0.000369054
32,5162.13,0.96996,0.89203,1.19614,0.60787,0.6276,0.6357,0.47282,0.83957,0.86973,1.11986,0.000351056,0.000351056,0.000351056
33,5322.93,0.96473,0.88092,1.19145,0.60266,0.63184,0.63167,0.4678,0.82612,0.8761,1.1075,0.000333058,0.000333058,0.000333058
